source,target,value
Data,Linear,6
Data,Logistic,15
Data,Miscellaneous,2
Data,Poisson,6
Linear,Players | Leagues | Referees,3
Linear,Players | Referees,1
Linear,Players | Leagues,1
Linear,Num of Draws,1
Logistic,Players | Referees,4
Logistic,Players | Leagues,3
Logistic,Leagues,1
Logistic,Players,5
Logistic,None,2
Poisson,Players | Leagues,1
Poisson,Players,5
Miscellaneous,Players,1
Miscellaneous,None,1
Players,2.93,1
Players,2.88,1
None,1.71,1
Players | Referees,1.48,1
Players,1.42,1
Players,1.41,1
Players,1.4,1
Players,1.39,1
None,1.39,1
Players | Leagues,1.38,1
Players,1.38,1
None,1.38,1
Players | Referees,1.34,1
Players,1.32,1
Players | Referees,1.31,1
Players | Leagues,1.31,1
Players | Leagues,1.3,1
Players | Leagues | Referees,1.28,1
Players,1.28,1
Players | Leagues,1.25,1
Players | Leagues | Referees,1.21,1
Players | Referees,1.21,1
Players | Leagues | Referees,1.18,1
Players | Leagues,1.12,1
Players,1.1,1
Num of Draws,1.03,1
Leagues,1.02,1
Players | Referees,0.96,1
Players,0.89,1
